C/A,UNIT,SCP,STATION, LINENAME, DIVISION, DATEn,TIMEn,DESCn,ENTRIESn,EXITSn
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/27/2017,00:00:00,REGULAR,0006195217,0002098317                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/27/2017,04:00:00,REGULAR,0006195240,0002098318                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/27/2017,08:00:00,REGULAR,0006195256,0002098347                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/27/2017,12:00:00,REGULAR,0006195346,0002098432                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/27/2017,16:00:00,REGULAR,0006195518,0002098491                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/27/2017,20:00:00,REGULAR,0006195765,0002098537                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/28/2017,00:00:00,REGULAR,0006195898,0002098559                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/28/2017,04:00:00,REGULAR,0006195914,0002098562                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/28/2017,08:00:00,REGULAR,0006195930,0002098581                                            
A030,R083,01-03-00,23 ST,NRW,BMT,05/28/2017,16:00:00,REGULAR,0005436770,0002692672                                                
A030,R083,01-03-00,23 ST,NRW,BMT,05/28/2017,20:00:00,REGULAR,0005437036,0002692743                                                
A030,R083,01-03-00,23 ST,NRW,BMT,05/29/2017,00:00:00,REGULAR,0005437163,0002692762                                                
A030,R083,01-03-00,23 ST,NRW,BMT,05/29/2017,04:00:00,REGULAR,0005437169,0002692766                                                
A030,R083,01-03-00,23 ST,NRW,BMT,05/29/2017,08:00:00,REGULAR,0005437174,0002692780                                                
A030,R083,01-03-00,23 ST,NRW,BMT,05/29/2017,12:00:00,REGULAR,0005437220,0002692816                                                
A030,R083,01-03-00,23 ST,NRW,BMT,05/29/2017,16:00:00,REGULAR,0005437342,0002692857                                                
A030,R083,01-03-00,23 ST,NRW,BMT,05/29/2017,20:00:00,REGULAR,0005437533,0002692887                                                
A030,R083,01-03-00,23 ST,NRW,BMT,05/30/2017,00:00:00,REGULAR,0005437651,0002692899                                                
A030,R083,01-03-00,23 ST,NRW,BMT,05/30/2017,04:00:00,REGULAR,0005437662,0002692901                                                
A030,R083,01-03-00,23 ST,NRW,BMT,05/30/2017,08:00:00,REGULAR,0005437684,0002692970                                                
A030,R083,01-03-00,23 ST,NRW,BMT,05/30/2017,16:00:00,REGULAR,0005438172,0002693433                                                
A030,R083,01-03-00,23 ST,NRW,BMT,05/30/2017,20:00:00,REGULAR,0005438887,0002693549                                                
A030,R083,01-03-00,23 ST,NRW,BMT,05/31/2017,00:00:00,REGULAR,0005439076,0002693571                                                
A030,R083,01-03-00,23 ST,NRW,BMT,05/31/2017,04:00:00,REGULAR,0005439089,0002693573                                                
A030,R083,01-03-00,23 ST,NRW,BMT,05/31/2017,08:00:00,REGULAR,0005439112,0002693665                                                
A030,R083,01-03-00,23 ST,NRW,BMT,05/31/2017,12:00:00,REGULAR,0005439255,0002694041                                                
A030,R083,01-03-00,23 ST,NRW,BMT,05/31/2017,16:00:00,REGULAR,0005439528,0002694131                                                
A030,R083,01-03-00,23 ST,NRW,BMT,05/31/2017,20:00:00,REGULAR,0005440246,0002694281                                                
A030,R083,01-03-00,23 ST,NRW,BMT,06/01/2017,00:00:00,REGULAR,0005440477,0002694316                                                
A030,R083,01-03-00,23 ST,NRW,BMT,06/01/2017,04:00:00,REGULAR,0005440490,0002694318                                                
A030,R083,01-03-00,23 ST,NRW,BMT,06/01/2017,08:00:00,REGULAR,0005440512,0002694393                                                
A030,R083,01-03-00,23 ST,NRW,BMT,06/01/2017,12:00:00,REGULAR,0005440665,0002694753                                                
A030,R083,01-03-00,23 ST,NRW,BMT,06/01/2017,16:00:00,REGULAR,0005440948,0002694864                                                
A030,R083,01-03-00,23 ST,NRW,BMT,06/01/2017,20:00:00,REGULAR,0005441719,0002695012                                                
A030,R083,01-03-00,23 ST,NRW,BMT,06/02/2017,00:00:00,REGULAR,0005441971,0002695051                                                
A030,R083,01-03-00,23 ST,NRW,BMT,06/02/2017,04:00:00,REGULAR,0005441985,0002695055                                                
A030,R083,01-03-00,23 ST,NRW,BMT,06/02/2017,08:00:00,REGULAR,0005442010,0002695112                                                
A030,R083,01-03-00,23 ST,NRW,BMT,06/02/2017,12:00:00,REGULAR,0005442173,0002695425                                                
A030,R083,01-03-00,23 ST,NRW,BMT,06/02/2017,16:00:00,REGULAR,0005442544,0002695533                                                
A030,R083,01-03-00,23 ST,NRW,BMT,06/02/2017,20:00:00,REGULAR,0005443274,0002695648                                                
A030,R083,01-03-01,23 ST,NRW,BMT,05/27/2017,00:00:00,REGULAR,0008423421,0002594725                                                
A030,R083,01-03-01,23 ST,NRW,BMT,05/27/2017,04:00:00,REGULAR,0008423456,0002594732                                                
A030,R083,01-03-01,23 ST,NRW,BMT,05/27/2017,08:00:00,REGULAR,0008423472,0002594749                                                
A030,R083,01-03-01,23 ST,NRW,BMT,05/27/2017,12:00:00,REGULAR,0008423577,0002594816                                                
A030,R083,01-03-01,23 ST,NRW,BMT,05/27/2017,16:00:00,REGULAR,0008423886,0002594921                                                
